"Recipe" "Year" "Amount" "Measure" "Ingredient"
"my" "sukiyaki" 0.25 "lb" "Beef, variety meats and by-products, suet, raw"
"my" "sukiyaki" 2.5 "lb" "Beef, round, tip round, roast, separable lean only, trimmed to 0\" fat, all grades, raw"
"my" "sukiyaki" 2.5 "cup" "Soup, stock, beef, home-prepared"
"my" "sukiyaki" 2 "cup" "Bamboo shoots, canned, drained solids"
"my" "sukiyaki" 20 "ea" "Onions, young green, tops only"
"my" "sukiyaki" 2 "ea" "Peppers, sweet, green, raw"
"my" "sukiyaki" 2 "ea" "Celery, raw"
"my" "sukiyaki" 0.5 "lb" "Mushrooms, white, raw"
"my" "sukiyaki" 0.25 "cup" "Soy sauce made from soy and wheat (shoyu)"
"my" "sukiyaki" 2 "Tbs" "Sugars, granulated"
"my" "sukiyaki" 5 "cup" "Rice, white, long-grain, parboiled, unenriched, cooked"
